127.0.0.1 - - [24/Dec/2023:10:59:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Dec/2023:10:59:49 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [24/Dec/2023:10:59:51 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [24/Dec/2023:10:59:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Dec/2023:10:59:54 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:00:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:00:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:02:02 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:02:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:02:14 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:02:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:02:26 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:02:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:02:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:02:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:02:56 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:03:05 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:03:06 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:03:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:03:15 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:03:18 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:03:22 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:03:23 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:03:50 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:01 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:01 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:08 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6251
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:08 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:19 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:19 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:19 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:20 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12787
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:21 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:28 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4301
0:0:0:0:0:0:0:1 - - [24/Dec/2023:11:04:32 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7901
